Rok,Místo,Jméno,Příjmení,Disciplína,Medaile,Věk,Narození,Zakončení her
1998,Nagano,Petr,Svoboda,lední hokej,zlato,"32,04",14. února 1966,22. února 1998
1992,Albertville,Tomáš,Goder,skoky na lyžích – družstva,bronz,"17,48",4. září 1974,23. února 1992
1968,Grenoble,Hana,Mašková,krasobruslení,bronz,"18,41",26. září 1949,18. února 1968
1948,Svatý Mořic,Augustin,Bubník,lední hokej,stříbro,"19,23",21. listopadu 1928,8. února 1948
1964,Innsbruck,Jiří,Holík,lední hokej,bronz,"19,60",9. července 1944,9. února 1964
1984,Sarajevo,Pavel,Ploc,skoky na lyžích,bronz,"19,69",15. června 1964,19. února 1984
1984,Sarajevo,Jozef,Sabovčík,krasobruslení,bronz,"20,22",4. prosince 1963,19. února 1984
1948,Svatý Mořic,Vladimír,Kobranov,lední hokej,stříbro,"20,36",4. října 1927,8. února 1948
2006,Turín,Rostislav,Olesz,lední hokej,bronz,"20,39",10. října 1985,26. února 2006
1984,Sarajevo,Vladimír,Růžička,lední hokej,stříbro,"20,74",6. června 1963,27. února 1984
1992,Albertville,Jiří,Šlégr,lední hokej,bronz,"20,76",30. května 1971,28. února 1992
2014,Soči,Eva,Samková,snowboarding – snowboardcross,zlato,"20,84",28. dubna 1993,23. února 2014
1972,Sapporo,Ondrej,Nepela,krasobruslení,zlato,"21,07",22. ledna 1951,13. února 1972
1992,Albertville,František,Jež,skoky na lyžích – družstva,bronz,"21,20",16. prosince 1970,23. února 1992
1992,Albertville,Robert,Lang,lední hokej,bronz,"21,22",19. prosince 1970,4. března 1992
1964,Innsbruck,Stanislav,Prýl,lední hokej,bronz,"21,23",23. listopadu 1942,9. února 1964
1948,Svatý Mořic,Miloslav,Pokorný,lední hokej,stříbro,"21,36",5. října 1926,8. února 1948
1968,Grenoble,Jiří,Kochta,lední hokej,stříbro,"21,37",11. října 1946,18. února 1968
1964,Innsbruck,Vladimír,Dzurilla,lední hokej,bronz,"21,54",2. srpna 1942,9. února 1964
1968,Grenoble,Josef,Horešovský,lední hokej,stříbro,"21,60",18. července 1946,18. února 1968
1984,Sarajevo,Olga,Charvátová,alpské lyžování - sjezd,bronz,"21,71",11. června 1962,19. února 1984
1968,Grenoble,Oldřich,Machač,lední hokej,stříbro,"21,85",18. dubna 1946,18. února 1968
1988,Calgary,Radim,Nyč,běh na lyžích – štafeta mužů 4 x 10 km,bronz,"21,90",11. dubna 1966,28. února 1988
1984,Sarajevo,Jaroslav,Benák,lední hokej,stříbro,"21,91",3. dubna 1962,24. února 1984
1948,Svatý Mořic,Oldřich,Zábrodský,lední hokej,stříbro,"21,96",28. února 1926,8. února 1948
1998,Nagano,Milan,Hejduk,lední hokej,zlato,"22,04",14. února 1976,22. února 1998
1972,Sapporo,Ivan,Hlinka,lední hokej,bronz,"22,06",26. ledna 1950,13. února 1972
1992,Albertville,Richard,Šmehlík,lední hokej,bronz,"22,12",23. ledna 1970,3. března 1992
1948,Svatý Mořic,Přemysl,Hainý,lední hokej,stříbro,"22,16",18. prosince 1925,8. února 1948
1972,Sapporo,Vladimír,Martinec,lední hokej,bronz,"22,16",22. prosince 1949,13. února 1972
1988,Calgary,Václav,Korunka,běh na lyžích – štafeta mužů 4 x 10 km,bronz,"22,19",24. prosince 1965,28. února 1988
1992,Albertville,Patrik,Augusta,lední hokej,bronz,"22,33",13. listopadu 1969,9. března 1992
1984,Sarajevo,Miloslav,Hořava,lední hokej,stříbro,"22,54",14. srpna 1961,23. února 1984
2006,Turín,Aleš,Hemský,lední hokej,bronz,"22,56",13. srpna 1983,26. února 2006
1992,Albertville,Jaroslav,Sakala,skoky na lyžích – družstva,bronz,"22,63",14. července 1969,23. února 1992
1976,Innsbruck,Milan,Chalupa,lední hokej,stříbro,"22,63",4. července 1953,15. února 1976
1984,Sarajevo,Eduard,Uvíra,lední hokej,stříbro,"22,64",12. července 1961,25. února 1984
2010,Vancouver,Martina,Sáblíková,rychlobruslení – 3000 m,zlato,"22,78",27. května 1987,28. února 2010
2010,Vancouver,Martina,Sáblíková,rychlobruslení – 5000 m,zlato,"22,78",27. května 1987,28. února 2010
2010,Vancouver,Martina,Sáblíková,rychlobruslení – 1500 m,bronz,"22,78",27. května 1987,28. února 2010
1972,Sapporo,Bohuslav,Šťastný,lední hokej,bronz,"22,82",23. dubna 1949,13. února 1972
1972,Sapporo,Helena,Šikolová,běh na lyžích – 5 km,bronz,"22,90",25.3.1949,13. února 1972
2018,Pchjongčchang,Ester,Ledecká,alpské lyžování – superobří slalom,zlato,"22,95",23. března 1995,25. února 2018
1992,Albertville,Petr,Hrbek,lední hokej,bronz,"22,95",3. dubna 1969,11. března 1992
1964,Innsbruck,Jan,Klapáč,lední hokej,bronz,"22,96",27. února 1941,9. února 1964
1992,Albertville,Róbert,Švehla,lední hokej,bronz,"23,17",2. ledna 1969,27. února 1992
1972,Sapporo,Miroslav,Daněk,lední hokej,bronz,"23,19",10. prosince 1948,13. února 1972
1928,Svatý Mořic,Rudolf,Burkert,skoky na lyžích - velký můstek,bronz,"23,32",31. října 1904,19. února 1928
1984,Sarajevo,Igor,Liba,lední hokej,stříbro,"23,34",4. listopadu 1960,3. března 1984
1968,Grenoble,Jan,Suchý,lední hokej,stříbro,"23,37",10. října 1944,18. února 1968
1972,Sapporo,Vladimír,Bednář,lední hokej,bronz,"23,38",1. října 1948,13. února 1972
1980,Lake Placid,Květa,Jeriová,běh na lyžích – 5 km,bronz,"23,39",10. října 1956,24. února 1980
2010,Vancouver,Martin,Jakš,běh na lyžích – štafeta 4×10 km,bronz,"23,50",6. září 1986,28. února 2010
1984,Sarajevo,Dušan,Pašek,lední hokej,stříbro,"23,51",7. září 1960,6. března 1984
1968,Grenoble,Petr,Hejma,lední hokej,stříbro,"23,66",27. června 1944,18. února 1968
1988,Calgary,Pavel,Ploc,skoky na lyžích,stříbro,"23,72",15. června 1964,28. února 1988
1972,Sapporo,Rudolf,Tajcnár,lední hokej,bronz,"23,84",17. dubna 1948,13. února 1972
1998,Nagano,Libor,Procházka,lední hokej,zlato,"23,85",25. dubna 1974,22. února 1998
1998,Nagano,Roman,Hamrlík,lední hokej,zlato,"23,88",12. dubna 1974,22. února 1998
1968,Grenoble,František,Pospíšil,lední hokej,stříbro,"23,90",2. dubna 1944,18. února 1968
1968,Grenoble,Václav,Nedomanský,lední hokej,stříbro,"23,95",14. března 1944,18. února 1968
1960,Squaw Valley,Karol,Divín,krasobruslení,stříbro,"24,03",22. února 1936,28. února 1960
1998,Nagano,Jaroslav,Špaček,lední hokej,zlato,"24,05",11. února 1974,22. února 1998
1976,Innsbruck,Jaroslav,Pouzar,lední hokej,stříbro,"24,08",23. ledna 1952,15. února 1976
1964,Innsbruck,Jaroslav,Jiřík,lední hokej,bronz,"24,18",10. prosince 1939,9. února 1964
1984,Sarajevo,Jaromír,Šindel,lední hokej,stříbro,"24,24",30. listopadu 1959,19. února 1984
1984,Sarajevo,Dárius,Rusnák,lední hokej,stříbro,"24,26",2. prosince 1959,28. února 1984
1948,Svatý Mořic,Karel,Stibor,lední hokej,stříbro,"24,28",5. listopadu 1923,8. února 1948
2014,Soči,Gabriela,Soukalová,biatlon – závod s hromadným startem,stříbro,"24,33",1. listopadu 1989,23. února 2014
2014,Soči,Gabriela,Soukalová,biatlon – smíšená štafeta,stříbro,"24,33",1. listopadu 1989,23. února 2014
1964,Innsbruck,Josef,Černý,lední hokej,bronz,"24,33",18. října 1939,9. února 1964
1976,Innsbruck,Miroslav,Dvořák,lední hokej,stříbro,"24,36",11. října 1951,15. února 1976
1976,Innsbruck,Milan,Nový,lední hokej,stříbro,"24,41",23. září 1951,15. února 1976
2006,Turín,Martin,Erat,lední hokej,bronz,"24,51",29. srpna 1981,26. února 2006
1984,Sarajevo,Jiří,Lála,lední hokej,stříbro,"24,55",21. srpna 1959,4. března 1984
1988,Calgary,Pavel,Benc,běh na lyžích – štafeta mužů 4 x 10 km,bronz,"24,65",10. července 1963,28. února 1988
1998,Nagano,Milan,Hnilička,lední hokej,zlato,"24,68",25. června 1973,22. února 1998
1948,Svatý Mořic,Stanislav,Konopásek,lední hokej,stříbro,"24,83",18. dubna 1923,8. února 1948
2018,Pchjongčchang,Eva,Samková,snowboarding – snowboardcross,bronz,"24,85",28. dubna 1993,25. února 2018
1998,Nagano,David,Moravec,lední hokej,zlato,"24,93",24. března 1973,22. února 1998
1948,Svatý Mořic,Vladimír,Zábrodský,lední hokej,stříbro,"24,94",7. března 1923,8. února 1948
1998,Nagano,Kateřina,Neumannová,běh na lyžích – 5 km klasicky,stříbro,"25,04",15. února 1973,22. února 1998
1998,Nagano,Kateřina,Neumannová,běh na lyžích – 10 km volně stíhací závod,bronz,"25,04",15. února 1973,22. února 1998
2010,Vancouver,Šárka,Záhrobská,alpské lyžování – slalom,bronz,"25,06",11. února 1985,28. února 2010
1992,Albertville,Ladislav,Lubina,lední hokej,bronz,"25,09",11. února 1967,8. března 1992
1992,Albertville,Oldřich,Svoboda,lední hokej,bronz,"25,09",28. ledna 1967,24. února 1992
1964,Innsbruck,Jaroslav,Walter,lední hokej,bronz,"25,11",5. ledna 1939,9. února 1964
1984,Sarajevo,Arnold,Kadlec,lední hokej,stříbro,"25,14",8. ledna 1959,22. února 1984
1948,Svatý Mořic,Václav,Roziňák,lední hokej,stříbro,"25,19",7. prosince 1922,8. února 1948
1964,Innsbruck,František,Gregor,lední hokej,bronz,"25,19",8. prosince 1938,9. února 1964
1998,Nagano,Jan,Čaloun,lední hokej,zlato,"25,19",20. prosince 1972,22. února 1998
2014,Soči,Veronika,Vítková,biatlon – smíšená štafeta,stříbro,"25,22",9. prosince 1988,23. února 2014
1972,Sapporo,Eduard,Novák,lední hokej,bronz,"25,23",27. listopadu 1946,13. února 1972
1988,Calgary,Jiří,Malec,skoky na lyžích,bronz,"25,28",24. listopadu 1962,28. února 1988
1968,Grenoble,Jan,Havel,lední hokej,stříbro,"25,29",10. listopadu 1942,18. února 1968
1968,Grenoble,Jiří,Holík,lední hokej,stříbro,"25,29",10. listopadu 1942,18. února 1968
1984,Sarajevo,Vladimír,Caldr,lední hokej,stříbro,"25,29",26. listopadu 1958,5. března 1984
2018,Pchjongčchang,Karolína,Erbanová,rychlobruslení – 500 m,bronz,"25,35",27. října 1992,25. února 2018
1972,Sapporo,Jiří,Kochta,lední hokej,bronz,"25,36",11. října 1946,13. února 1972
1968,Grenoble,Karel,Masopust,lední hokej,stříbro,"25,39",4. října 1942,18. února 1968
1998,Nagano,Martin,Straka,lední hokej,zlato,"25,49",3. září 1972,22. února 1998
1984,Sarajevo,Dagmar,Švubová,běh na lyžích – štafeta žen 4 x 5 km,stříbro,"25,55",9. srpna 1958,19. února 1984
1968,Grenoble,Vladimír,Dzurilla,lední hokej,stříbro,"25,56",2. srpna 1942,18. února 1968
1972,Sapporo,Josef,Horešovský,lední hokej,bronz,"25,59",18. července 1946,13. února 1972
1992,Albertville,Radek,Ťoupal,lední hokej,bronz,"25,59",16. srpna 1966,14. března 1992
1976,Innsbruck,Jiří,Novák,lední hokej,stříbro,"25,71",6. června 1950,15. února 1976
1964,Innsbruck,Ladislav,Šmíd,lední hokej,bronz,"25,73",24. května 1938,9. února 1964
1976,Innsbruck,Milan,Kajkl,lední hokej,stříbro,"25,78",14. května 1950,15. února 1976
1972,Sapporo,Oldřich,Machač,lední hokej,bronz,"25,84",18. dubna 1946,13. února 1972
1992,Albertville,Kamil,Kašťák,lední hokej,bronz,"25,85",8. května 1966,7. března 1992
1976,Innsbruck,Jiří,Crha,lední hokej,stříbro,"25,86",13. dubna 1950,15. února 1976
1964,Innsbruck,Vladimír,Nadrchal,lední hokej,bronz,"25,95",4. března 1938,9. února 1964
1992,Albertville,Petr,Barna,krasobruslení,bronz,"25,98",9. března 1966,23. února 1992
1998,Nagano,Martin,Procházka,lední hokej,zlato,"25,99",3. března 1972,22. února 1998
1998,Nagano,Jaromír,Jágr,lední hokej,zlato,"26,04",15. února 1972,22. února 1998
1976,Innsbruck,Jiří,Bubla,lední hokej,stříbro,"26,07",27. ledna 1950,15. února 1976
1976,Innsbruck,Ivan,Hlinka,lední hokej,stříbro,"26,07",26. ledna 1950,15. února 1976
1968,Grenoble,Jan,Hrbatý,lední hokej,stříbro,"26,10",20. ledna 1942,18. února 1968
1964,Innsbruck,Jozef,Golonka,lední hokej,bronz,"26,11",6. ledna 1938,9. února 1964
1968,Grenoble,František,Ševčík,lední hokej,stříbro,"26,12",11. ledna 1942,18. února 1968
1976,Innsbruck,Vladimír,Martinec,lední hokej,stříbro,"26,17",22. prosince 1949,15. února 1976
1984,Sarajevo,Jiří,Hrdina,lední hokej,stříbro,"26,17",5. ledna 1958,29. února 1984
1984,Sarajevo,Radoslav,Svoboda,lední hokej,stříbro,"26,19",18. prosince 1957,21. února 1984
1992,Albertville,Drahomír,Kadlec,lední hokej,bronz,"26,26",29. listopadu 1965,26. února 1992
1972,Sapporo,Richard,Farda,lední hokej,bronz,"26,28",8. listopadu 1945,13. února 1972
1948,Svatý Mořic,Jaroslav,Drobný,lední hokej,stříbro,"26,34",12. října 1921,8. února 1948
1998,Nagano,Pavel,Patera,lední hokej,zlato,"26,48",6. září 1971,22. února 1998
1964,Innsbruck,Rudolf,Potsch,lední hokej,bronz,"26,67",15. června 1937,9. února 1964
1998,Nagano,Robert,Reichel,lední hokej,zlato,"26,68",25. června 1971,22. února 1998
1998,Nagano,Jiří,Šlégr,lední hokej,zlato,"26,75",30. května 1971,22. února 1998
2014,Soči,Martina,Sáblíková,rychlobruslení – 5000 m,zlato,"26,76",27. května 1987,23. února 2014
2014,Soči,Martina,Sáblíková,rychlobruslení – 3000 m,stříbro,"26,76",27. května 1987,23. února 2014
1992,Albertville,Leo,Gudas,lední hokej,bronz,"26,80",20. května 1965,29. února 1992
1984,Sarajevo,Jaroslav,Korbela,lední hokej,stříbro,"26,82",20. května 1957,9. března 1984
1976,Innsbruck,Bohuslav,Šťastný,lední hokej,stříbro,"26,83",23. dubna 1949,15. února 1976
1964,Innsbruck,Jiří,Dolana,lední hokej,bronz,"26,92",16. března 1937,9. února 1964
1998,Nagano,Martin,Ručinský,lední hokej,zlato,"26,97",11. března 1971,22. února 1998
1968,Grenoble,Jan,Klapáč,lední hokej,stříbro,"26,99",27. února 1941,18. února 1968
1972,Sapporo,Karel,Vohralík,lední hokej,bronz,"26,99",22. února 1945,13. února 1972
1998,Nagano,Roman,Čechmánek,lední hokej,zlato,"27,00",2. března 1971,22. února 1998
1968,Grenoble,Jiří,Raška,skoky na lyžích – střední můstek,zlato,"27,05",4. února 1941,18. února 1968
1968,Grenoble,Jiří,Raška,skoky na lyžích – velký můstek,stříbro,"27,05",4. února 1941,18. února 1968
2018,Pchjongčchang,Michal,Krčmář,biatlon – sprint,stříbro,"27,11",23. ledna 1991,25. února 2018
1998,Nagano,Robert,Lang,lední hokej,zlato,"27,20",19. prosince 1970,22. února 1998
2006,Turín,Aleš,Kotalík,lední hokej,bronz,"27,20",23. prosince 1978,26. února 2006
1948,Svatý Mořic,Vladimír,Bouzek,lední hokej,stříbro,"27,20",3. prosince 1920,8. února 1948
1992,Albertville,Petr,Bříza,lední hokej,bronz,"27,22",9. prosince 1964,23. února 1992
1992,Albertville,Peter,Veselovský,lední hokej,bronz,"27,36",11. listopadu 1964,15. března 1992
1984,Sarajevo,Květa,Jeriová,běh na lyžích – 5 km,bronz,"27,38",10. října 1956,19. února 1984
1984,Sarajevo,Květa,Jeriová,běh na lyžích – štafeta žen 4 x 5 km,stříbro,"27,38",10. října 1956,19. února 1984
1976,Innsbruck,Bohuslav,Ebermann,lední hokej,stříbro,"27,42",19. září 1948,15. února 1976
1976,Innsbruck,Pavol,Svitana,lední hokej,stříbro,"27,47",2. září 1948,15. února 1976
1984,Sarajevo,Vladimír,Kýhos,lední hokej,stříbro,"27,73",23. června 1956,8. března 1984
1992,Albertville,Petr,Rosol,lední hokej,bronz,"27,73",20. června 1964,5. března 1992
1992,Albertville,Bedřich,Ščerban,lední hokej,bronz,"27,77",31. května 1964,2. března 1992
1972,Sapporo,František,Pospíšil,lední hokej,bronz,"27,88",2. dubna 1944,13. února 1972
1972,Sapporo,Jiří,Holeček,lední hokej,bronz,"27,93",18. března 1944,13. února 1972
1992,Albertville,Richard,Žemlička,lední hokej,bronz,"27,93",13. dubna 1964,12. března 1992
1972,Sapporo,Václav,Nedomanský,lední hokej,bronz,"27,94",14. března 1944,13. února 1972
2006,Turín,Jan,Bulis,lední hokej,bronz,"27,96",18. března 1978,26. února 2006
2006,Turín,Tomáš,Kaberle,lední hokej,bronz,"28,01",2. března 1978,26. února 2006
1998,Nagano,Richard,Šmehlík,lední hokej,zlato,"28,10",23. ledna 1970,22. února 1998
1968,Grenoble,Jaroslav,Jiřík,lední hokej,stříbro,"28,21",10. prosince 1939,18. února 1968
1964,Innsbruck,Miroslav,Vlach,lední hokej,bronz,"28,33",19. října 1935,9. února 1964
1998,Nagano,Josef,Beránek,lední hokej,zlato,"28,35",25. října 1969,22. února 1998
1968,Grenoble,Josef,Černý,lední hokej,stříbro,"28,36",18. října 1939,18. února 1968
1992,Albertville,Jaromír,Dragan,lední hokej,bronz,"28,47",14. září 1963,25. února 1992
2006,Turín,Lukáš,Bauer,běh na lyžích – 15 km klasicky,stříbro,"28,55",18. srpna 1977,26. února 2006
2006,Turín,Pavel,Kubina,lední hokej,bronz,"28,89",15. dubna 1977,26. února 2006
2002,Salt Lake City,Kateřina,Neumannová,běh na lyžích – 15 km volně,stříbro,"29,04",15. února 1973,24. února 2002
2002,Salt Lake City,Kateřina,Neumannová,běh na lyžích – 2×5 km stíhací závod,stříbro,"29,04",15. února 1973,24. února 2002
1988,Calgary,Ladislav,Švanda,běh na lyžích – štafeta mužů 4 x 10 km,bronz,"29,06",14. února 1959,28. února 1988
2002,Salt Lake City,Aleš,Valenta,akrobatické lyžování – skoky,zlato,"29,07",6. února 1973,24. února 2002
2006,Turín,Marek,Židlický,lední hokej,bronz,"29,08",3. února 1977,26. února 2006
1992,Albertville,Jiří,Parma,skoky na lyžích – družstva,bronz,"29,14",9. ledna 1963,23. února 1992
2006,Turín,Filip,Kuba,lední hokej,bronz,"29,18",29. prosince 1976,26. února 2006
2018,Pchjongčchang,Veronika,Vítková,biatlon – sprint,bronz,"29,23",9. prosince 1988,25. února 2018
1976,Innsbruck,Eduard,Novák,lední hokej,stříbro,"29,24",27. listopadu 1946,15. února 1976
1998,Nagano,Jiří,Dopita,lední hokej,zlato,"29,24",2. prosince 1968,22. února 1998
1976,Innsbruck,Josef,Augusta,lední hokej,stříbro,"29,25",24. listopadu 1946,15. února 1976
1984,Sarajevo,Pavel,Richter,lední hokej,stříbro,"29,26",5. prosince 1954,2. března 1984
1972,Sapporo,Jan,Havel,lední hokej,bronz,"29,28",10. listopadu 1942,13. února 1972
1972,Sapporo,Jiří,Holík,lední hokej,bronz,"29,28",10. listopadu 1942,13. února 1972
1948,Svatý Mořic,Zdeněk,Jarkovský,lední hokej,stříbro,"29,37",3. října 1918,8. února 1948
1972,Sapporo,Jaroslav,Holík,lední hokej,bronz,"29,55",3. srpna 1942,13. února 1972
1972,Sapporo,Vladimír,Dzurilla,lední hokej,bronz,"29,55",2. srpna 1942,13. února 1972
2006,Turín,Tomáš,Vokoun,lední hokej,bronz,"29,67",2. července 1976,26. února 2006
2014,Soči,Ondřej,Moravec,biatlon – stíhací závod,stříbro,"29,73",9. června 1984,23. února 2014
2014,Soči,Ondřej,Moravec,biatlon – smíšená štafeta,stříbro,"29,73",9. června 1984,23. února 2014
2014,Soči,Ondřej,Moravec,biatlon – závod s hromadným startem,bronz,"29,73",9. června 1984,23. února 2014
1976,Innsbruck,Oldřich,Machač,lední hokej,stříbro,"29,85",18. dubna 1946,15. února 1976
1992,Albertville,Tomáš,Jelínek,lední hokej,bronz,"29,88",29. dubna 1962,10. března 1992
2006,Turín,Patrik,Eliáš,lední hokej,bronz,"29,89",13. dubna 1976,26. února 2006
1984,Sarajevo,Blanka,Paulů,běh na lyžích – štafeta žen 4 x 5 km,stříbro,"29,91",31. března 1954,19. února 1984
1948,Svatý Mořic,Josef,Trousílek,lední hokej,stříbro,"29,92",16. března 1918,8. února 1948
1968,Grenoble,Vladimír,Nadrchal,lední hokej,stříbro,"29,98",4. března 1938,18. února 1968
2006,Turín,Milan,Hejduk,lední hokej,bronz,"30,05",14. února 1976,26. února 2006
1984,Sarajevo,Vincent,Lukáč,lední hokej,stříbro,"30,06",14. února 1954,1. března 1984
1998,Nagano,František,Kučera,lední hokej,zlato,"30,07",3. února 1968,22. února 1998
1968,Grenoble,Jozef,Golonka,lední hokej,stříbro,"30,14",6. ledna 1938,18. února 1968
1992,Albertville,František,Procházka,lední hokej,bronz,"30,16",25. ledna 1962,16. března 1992
1948,Svatý Mořic,Vilibald,Šťovík,lední hokej,stříbro,"30,35",9. října 1917,8. února 1948
2006,Turín,Petr,Čajánek,lední hokej,bronz,"30,55",18. srpna 1975,26. února 2006
1992,Albertville,Miloslav,Hořava,lední hokej,bronz,"30,57",14. srpna 1961,1. března 1992
1964,Innsbruck,František,Tikal,lední hokej,bronz,"30,58",18. července 1933,9. února 1964
1984,Sarajevo,Milan,Chalupa,lední hokej,stříbro,"30,67",4. července 1953,26. února 1984
2006,Turín,Marek,Malík,lední hokej,bronz,"30,70",24. června 1975,26. února 2006
2018,Pchjongčchang,Martina,Sáblíková,rychlobruslení – 5000 m,stříbro,"30,77",27. května 1987,25. února 2018
1984,Sarajevo,František,Černík,lední hokej,stříbro,"30,78",3. června 1953,7. března 1984
1948,Svatý Mořic,Miroslav,Sláma,lední hokej,stříbro,"30,99",17. února 1917,8. února 1948
1984,Sarajevo,Gabriela,Svobodová,běh na lyžích – štafeta žen 4 x 5 km,stříbro,"31,00",27. února 1953,19. února 1984
2006,Turín,Václav,Prospal,lední hokej,bronz,"31,05",17. února 1975,26. února 2006
2006,Turín,David,Výborný,lední hokej,bronz,"31,12",22. ledna 1975,26. února 2006
1992,Albertville,Otakar,Janecký,lední hokej,bronz,"31,21",26. prosince 1960,6. března 1992
1992,Albertville,Igor,Liba,lední hokej,bronz,"31,38",4. listopadu 1960,13. března 1992
1948,Svatý Mořic,Bohumil,Modrý,lední hokej,stříbro,"31,39",24. září 1916,8. února 1948
2010,Vancouver,Martin,Koukal,běh na lyžích – štafeta 4×10 km,bronz,"31,45",25. září 1978,28. února 2010
2014,Soči,Jaroslav,Soukup,biatlon – smíšená štafeta,stříbro,"31,64",12. července 1982,23. února 2014
2014,Soči,Jaroslav,Soukup,biatlon – sprint,bronz,"31,64",12. července 1982,23. února 2014
1984,Sarajevo,Jiří,Králík,lední hokej,stříbro,"31,88",11. dubna 1952,20. února 1984
1976,Innsbruck,František,Pospíšil,lední hokej,stříbro,"31,89",2. dubna 1944,15. února 1976
1976,Innsbruck,Jiří,Holeček,lední hokej,stříbro,"31,93",18. března 1944,15. února 1976
2006,Turín,Jaroslav,Špaček,lední hokej,bronz,"32,06",11. února 1974,26. února 2006
2006,Turín,František,Kaberle,lední hokej,bronz,"32,32",8. listopadu 1973,26. února 2006
1972,Sapporo,Josef,Černý,lední hokej,bronz,"32,35",18. října 1939,13. února 1972
2010,Vancouver,Lukáš,Bauer,běh na lyžích – 15 km volně,bronz,"32,55",18. srpna 1977,28. února 2010
2010,Vancouver,Lukáš,Bauer,běh na lyžích – štafeta 4×10 km,bronz,"32,55",18. srpna 1977,28. února 2010
2006,Turín,Milan,Hnilička,lední hokej,bronz,"32,70",25. června 1973,26. února 2006
2010,Vancouver,Jiří,Magál,běh na lyžích – štafeta 4×10 km,bronz,"32,91",11. dubna 1977,28. února 2010
1964,Innsbruck,Vlastimil,Bubník,lední hokej,bronz,"32,92",18. března 1931,9. února 1964
2006,Turín,Kateřina,Neumannová,běh na lyžích – 30 km volně,zlato,"33,05",15. února 1973,26. února 2006
2006,Turín,Kateřina,Neumannová,běh na lyžích – skiatlon,stříbro,"33,05",15. února 1973,26. února 2006
1998,Nagano,Dominik,Hašek,lední hokej,zlato,"33,09",29. ledna 1965,22. února 1998
1964,Innsbruck,Stanislav,Sventek,lední hokej,bronz,"33,27",9. listopadu 1930,9. února 1964
1976,Innsbruck,Jiří,Holík,lední hokej,stříbro,"33,29",10. listopadu 1942,15. února 1976
2006,Turín,Martin,Straka,lední hokej,bronz,"33,50",3. září 1972,26. února 2006
1948,Svatý Mořic,Ladislav,Troják,lední hokej,stříbro,"33,67",15. června 1914,8. února 1948
2006,Turín,Dušan,Salfický,lední hokej,bronz,"33,94",28. března 1972,26. února 2006
2006,Turín,Jaromír,Jágr,lední hokej,bronz,"34,05",15. února 1972,26. února 2006
1998,Nagano,Vladimír,Růžička,lední hokej,zlato,"34,74",6. června 1963,22. února 1998
2006,Turín,Martin,Ručinský,lední hokej,bronz,"34,99",11. března 1971,26. února 2006
2006,Turín,Robert,Lang,lední hokej,bronz,"35,21",19. prosince 1970,26. února 2006
2006,Turín,Dominik,Hašek,lední hokej,bronz,"41,10",29. ledna 1965,26. února 2006